dtstart,dtend,uid,description,salle
2023-09-18T08:00:00Z,2023-09-18T09:30:00Z,Cours-5131-13-M1-ILSEN-cla-Gr1-Index-Education,Matiere : UCE 1 ANGLAIS (ORIENTE ENTREP\nEnseignant : REY Carole\nTD : M1-ILSEN-cla-Gr1\nSalle : S3 = C 036\nType : TP\n,S3 = C 036
2023-10-09T09:30:00Z,2023-10-09T11:00:00Z,Cours-5132-16-M1-ILSEN-cla-Gr1-Index-Education,Matiere : UCE 1 ANGLAIS (ORIENTE ENTREP\nEnseignant : REY Carole\nTD : M1-ILSEN-cla-Gr1\nSalle : S3 = C 036\nType : TP\n,S3 = C 036
2023-10-13T09:30:00Z,2023-10-13T11:00:00Z,Cours-5137-16-M1-ILSEN-cla-Gr1-Index-Education,Matiere : UCE 1 ANGLAIS (ORIENTE ENTREP\nEnseignant : REY Carole\nTD : M1-ILSEN-cla-Gr1\nSalle : S3 = C 036\nType : TP\n,S3 = C 036
2023-10-26T14:00:00Z,2023-10-26T15:30:00Z,Cours-5140-18-M1-ILSEN-cla-Gr1-Index-Education,Matiere : UCE 1 ANGLAIS (ORIENTE ENTREP\nEnseignant : REY Carole\nTD : M1-ILSEN-cla-Gr1\nSalle : S3 = C 036\nType : TP\n,S3 = C 036
2023-11-06T10:30:00Z,2023-11-06T12:00:00Z,Cours-5145-20-M1-ILSEN-cla-Gr1-Index-Education,Matiere : UCE 1 ANGLAIS (ORIENTE ENTREP\nEnseignant : REY Carole\nTD : M1-ILSEN-cla-Gr1\nSalle : S3 = C 036\nType : TP\n,S3 = C 036
2023-11-13T09:00:00Z,2023-11-13T10:30:00Z,Cours-5149-21-M1-ILSEN-cla-Gr1-Index-Education,Matiere : UCE 1 ANGLAIS (ORIENTE ENTREP\nEnseignant : REY Carole\nTD : M1-ILSEN-cla-Gr1\nSalle : S3 = C 036\nType : TP\n,S3 = C 036
2023-11-28T10:30:00Z,2023-11-28T12:00:00Z,Cours-5153-23-M1-ILSEN-cla-Gr1-Index-Education,Matiere : UCE 1 ANGLAIS (ORIENTE ENTREP\nEnseignant : REY Carole\nTD : M1-ILSEN-cla-Gr1\nSalle : S3 = C 036\nType : TP\n,S3 = C 036
2023-12-11T09:00:00Z,2023-12-11T10:30:00Z,Cours-5157-25-M1-ILSEN-cla-Gr1-Index-Education,Matiere : UCE 1 ANGLAIS (ORIENTE ENTREP\nEnseignant : REY Carole\nTD : M1-ILSEN-cla-Gr1\nSalle : S3 = C 036\nType : TP\n,S3 = C 036
2023-11-20T07:30:00Z,2023-11-20T09:00:00Z,Cours-5161-22-M1-ILSEN-cla-Gr1-Index-Education,Matiere : UCE 1 ANGLAIS (ORIENTE ENTREP\nEnseignant : REY Carole\nTD : M1-ILSEN-cla-Gr1\nSalle : S3 = C 036\nType : TP\n,S3 = C 036
2023-11-17T07:30:00Z,2023-11-17T09:00:00Z,Cours-5232-21-M1-ILSEN-cla-Gr1-Index-Education,"Matiere : UCE 1 ANGLAIS (ORIENTE ENTREP\nEnseignant : REY Carole\nTD : M1-IA-IL-ALT, M1-IA-IL-CLA, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-SICOM-Alt, M1-SICOM-Cla\nSalle : Amphi Blaise\nType : Evaluation\n",Amphi Blaise
2024-01-12T15:00:00Z,2024-01-12T16:30:00Z,Cours-5239-29-M1-ILSEN-cla-Gr1-Index-Education,"Matiere : UCE 1 ANGLAIS (ORIENTE ENTREP\nEnseignant : REY Carole\nTD : M1-IA-IL-ALT, M1-IA-IL-CLA, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-SICOM-Alt, M1-SICOM-Cla\nSalle : Amphi Blaise\nType : Evaluation\n",Amphi Blaise
2023-09-21T08:00:00Z,2023-09-21T11:00:00Z,Cours-5241-13-M1-ILSEN-cla-Gr1-Index-Education,"Matiere : UCE 2 MANAGEMENT PAR LES PROC\nEnseignant : MARTIN Yannis\nTD : M1-IA-IL-ALT, M1-IA-IL-CLA, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-SICOM-Alt, M1-SICOM-Cla\nSalle : Amphi Ada\nType : CM\n",Amphi Ada
2023-09-15T08:00:00Z,2023-09-15T11:00:00Z,Cours-5243-12-M1-ILSEN-cla-Gr1-Index-Education,"Matiere : UCE 2 MANAGEMENT PAR LES PROC\nEnseignant : PUY CAZCARRA Emmanuel\nTD : M1-IA-IL-ALT, M1-IA-IL-CLA, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-SICOM-Alt, M1-SICOM-Cla\nSalle : S5 = C 024\nType : CM\n",S5 = C 024
2023-12-12T13:30:00Z,2023-12-12T15:00:00Z,Cours-5246-25-M1-ILSEN-cla-Gr1-Index-Education,"Matiere : UCE 2 MANAGEMENT PAR LES PROC\nEnseignant : MARTIN Yannis\nTD : M1-IA-IL-ALT, M1-IA-IL-CLA, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-SICOM-Alt, M1-SICOM-Cla\nSalle : Amphi Blaise\nType : CM\n",Amphi Blaise
2023-11-06T15:00:00Z,2023-11-06T18:00:00Z,Cours-5248-20-M1-ILSEN-cla-Gr1-Index-Education,"Matiere : UCE 2 MANAGEMENT PAR LES PROC\nEnseignant : PUY CAZCARRA Emmanuel\nTD : M1-IA-IL-ALT, M1-IA-IL-CLA, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-SICOM-Alt, M1-SICOM-Cla\nSalle : Amphi Blaise\nType : CM\n",Amphi Blaise
2023-11-16T10:30:00Z,2023-11-16T12:00:00Z,Cours-5262-21-M1-ILSEN-cla-Gr1-Index-Education,"Matiere : UCE 2 MANAGEMENT PAR LES PROC\nEnseignant : PUY CAZCARRA Emmanuel\nTD : M1-IA-IL-ALT, M1-IA-IL-CLA, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-SICOM-Alt, M1-SICOM-Cla\nSalle : Amphi Ada\nType : CM\n",Amphi Ada
