dtstart,dtend,uid,salle,Matiere,Enseignants,Type,Memo,Formation
2024-02-09T15:00:00Z,2024-02-09T18:00:00Z,Cours-73708-33-M1-ILSEN-cla-Gr1-Index-Education,S6 = C 022,UCE 2 MIDDLEWARE,BONNEFOY Ludovic,CM,,ILSEN-CLA
2024-02-10T12:00:00Z,2024-02-10T13:30:00Z,Cours-73710-33-M1-ILSEN-cla-Gr1-Index-Education,Amphi Ada,UCE 2 MIDDLEWARE,BONNEFOY Ludovic,CM,,ILSEN-CLA
2024-01-29T07:30:00Z,2024-01-29T10:30:00Z,Cours-73701-32-M1-ILSEN-cla-Gr1-Index-Education,S6 = C 022,UCE 2 MIDDLEWARE,BONNEFOY Ludovic,CM,,ILSEN-CLA
2024-01-08T09:00:00Z,2024-01-08T10:30:00Z,Cours-62796-29-M1-ILSEN-cla-Gr1-Index-Education,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,TP,,ILSEN-CLA
2024-01-15T07:30:00Z,2024-01-15T18:00:00Z,Cours-62797-30-M1-ILSEN-cla-Gr1-Index-Education,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,Evaluation,,ILSEN-CLA
2024-01-16T12:00:00Z,2024-01-16T18:00:00Z,Cours-62801-30-M1-ILSEN-cla-Gr1-Index-Education,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,Evaluation,,ILSEN-CLA
2024-01-17T07:30:00Z,2024-01-17T18:00:00Z,Cours-62806-30-M1-ILSEN-cla-Gr1-Index-Education,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,Evaluation,,ILSEN-CLA
2024-03-21T09:00:00Z,2024-03-21T12:00:00Z,Cours-63390-39-M1-ILSEN-cla-Gr1-Index-Education,Stat 1 = Info - C 137,UCE 3 APPLICATIONS ORIENTEES,NABITZ Sophie,TP,,ILSEN-CLA
2023-12-15T13:30:00Z,2023-12-15T16:30:00Z,Cours-63838-25-M1-ILSEN-cla-Gr1-Index-Education,Amphi Ada,UCE 2 PROGRAMMATION PARALLELE,ROUVIER Mickael,Evaluation,,ILSEN-CLA
2023-12-20T15:00:00Z,2023-12-20T16:30:00Z,Cours-69497-26-M1-ILSEN-cla-Gr1-Index-Education,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,TP,,ILSEN-CLA
2024-02-17T07:30:00Z,2024-02-17T09:00:00Z,Cours-81241-34-M1-ILSEN-cla-Gr1-Index-Education,S4 = C 034,UCE 2 MIDDLEWARE,BONNEFOY Ludovic,CM,,ILSEN-CLA
2024-01-22T13:00:00Z,2024-01-22T16:00:00Z,Cours-75618-31-M1-ILSEN-cla-Gr1-Index-Education,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,Rattrapage,,ILSEN-CLA
2024-03-05T12:00:00Z,2024-03-05T15:00:00Z,Cours-80573-37-M1-ILSEN-cla-Gr1-Index-Education,Stat 1 = Info - C 137,UCE 2 PROTOTYPAGE ET INTERFAC,AMALVY Arthur,TP,,ILSEN-CLA
2024-04-12T06:30:00Z,2024-04-12T08:00:00Z,Cours-79616-42-M1-ILSEN-cla-Gr1-Index-Education,S5 = C 024,UE PROJET 2,"HADDAD Majed, VERNET Mathilde",CM/TD,2eme rencontre,ILSEN-CLA
2023-11-07T12:00:00Z,2023-11-07T15:00:00Z,Cours-80070-20-M1-ILSEN-cla-Gr1-Index-Education,Amphi Ada,UCE 2 MANAGEMENT PAR LES PROC,MARTIN Yannis,CM,,ILSEN-CLA
2023-11-14T12:00:00Z,2023-11-14T15:00:00Z,Cours-80070-21-M1-ILSEN-cla-Gr1-Index-Education,Amphi Ada,UCE 2 MANAGEMENT PAR LES PROC,MARTIN Yannis,CM,,ILSEN-CLA
2024-02-23T07:30:00Z,2024-02-23T10:30:00Z,Cours-80843-35-M1-ILSEN-cla-Gr1-Index-Education,Stat 3 = Info - C 135,UCE 2 MIDDLEWARE,BONNEFOY Ludovic,TP,,ILSEN-CLA
2024-03-19T13:30:00Z,2024-03-19T15:00:00Z,Cours-81240-39-M1-ILSEN-cla-Gr1-Index-Education,Amphi Ada,UCE 2 MIDDLEWARE,BONNEFOY Ludovic,Evaluation,,ILSEN-CLA
2024-04-02T12:30:00Z,2024-04-02T15:30:00Z,Cours-81242-41-M1-ILSEN-cla-Gr1-Index-Education,Stat 1 = Info - C 137,UCE 2 PROTOTYPAGE ET INTERFAC,AMALVY Arthur,TP,,ILSEN-CLA
2023-09-25T06:00:00Z,2023-09-25T17:00:00Z,Cours-2543-14-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2023-10-02T06:00:00Z,2023-10-02T17:00:00Z,Cours-2543-15-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2023-10-23T06:00:00Z,2023-10-23T17:00:00Z,Cours-2543-18-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2023-10-30T07:00:00Z,2023-10-30T18:00:00Z,Cours-2543-19-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2023-11-20T07:00:00Z,2023-11-20T18:00:00Z,Cours-2543-22-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2023-11-27T07:00:00Z,2023-11-27T18:00:00Z,Cours-2543-23-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2024-01-15T07:00:00Z,2024-01-15T18:00:00Z,Cours-2543-30-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2024-01-22T07:00:00Z,2024-01-22T18:00:00Z,Cours-2543-31-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2024-02-19T07:00:00Z,2024-02-19T18:00:00Z,Cours-2543-35-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2024-02-26T07:00:00Z,2024-02-26T18:00:00Z,Cours-2543-36-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2024-03-25T07:00:00Z,2024-03-25T18:00:00Z,Cours-2543-40-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2024-04-22T06:00:00Z,2024-04-22T17:00:00Z,Cours-2543-44-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2024-04-29T06:00:00Z,2024-04-29T17:00:00Z,Cours-2543-45-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2024-05-06T06:00:00Z,2024-05-06T17:00:00Z,Cours-2543-46-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2024-05-27T06:00:00Z,2024-05-27T17:00:00Z,Cours-2543-49-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2024-06-03T06:00:00Z,2024-06-03T17:00:00Z,Cours-2543-50-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2024-06-10T06:00:00Z,2024-06-10T17:00:00Z,Cours-2543-51-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2024-06-17T06:00:00Z,2024-06-17T17:00:00Z,Cours-2543-52-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2024-06-24T06:00:00Z,2024-06-24T17:00:00Z,Cours-2543-53-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2024-07-01T06:00:00Z,2024-07-01T17:00:00Z,Cours-2543-54-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2023-09-26T06:00:00Z,2023-09-26T17:00:00Z,Cours-2548-14-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2023-10-03T06:00:00Z,2023-10-03T17:00:00Z,Cours-2548-15-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2023-10-24T06:00:00Z,2023-10-24T17:00:00Z,Cours-2548-18-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2023-10-31T07:00:00Z,2023-10-31T18:00:00Z,Cours-2548-19-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2023-11-21T07:00:00Z,2023-11-21T18:00:00Z,Cours-2548-22-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2023-11-28T07:00:00Z,2023-11-28T18:00:00Z,Cours-2548-23-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2023-12-26T07:00:00Z,2023-12-26T18:00:00Z,Cours-2548-27-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2024-01-02T07:00:00Z,2024-01-02T18:00:00Z,Cours-2548-28-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2024-01-16T07:00:00Z,2024-01-16T18:00:00Z,Cours-2548-30-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2024-01-23T07:00:00Z,2024-01-23T18:00:00Z,Cours-2548-31-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2024-02-20T07:00:00Z,2024-02-20T18:00:00Z,Cours-2548-35-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2024-02-27T07:00:00Z,2024-02-27T18:00:00Z,Cours-2548-36-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2024-03-26T07:00:00Z,2024-03-26T18:00:00Z,Cours-2548-40-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2024-04-02T06:00:00Z,2024-04-02T17:00:00Z,Cours-2548-41-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2024-04-23T06:00:00Z,2024-04-23T17:00:00Z,Cours-2548-44-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2024-04-30T06:00:00Z,2024-04-30T17:00:00Z,Cours-2548-45-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2024-05-07T06:00:00Z,2024-05-07T17:00:00Z,Cours-2548-46-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2024-05-28T06:00:00Z,2024-05-28T17:00:00Z,Cours-2548-49-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
