dtstart,dtend,uid,salle,Matiere,Enseignants,Type,Memo,Formation
2023-10-25T06:30:00Z,2023-10-25T09:30:00Z,Cours-5382-18-M1-IA-IL-CLA-Index-Education,Stat 6 = Info - C 129,UCE 4 APPLICATION DE MSI,MARTIN Yannis,TP,,AI-CLA
2023-09-13T14:00:00Z,2023-09-13T15:30:00Z,Cours-5407-12-M1-IA-IL-CLA-Index-Education,Amphi Ada,UCE 1 DESIGN PATTERN AVANCE,NABITZ Sophie,CM,,AI-CLA
2023-09-20T14:00:00Z,2023-09-20T17:00:00Z,Cours-5422-13-M1-IA-IL-CLA-Index-Education,Amphi Blaise,UCE 1 DESIGN PATTERN AVANCE,NABITZ Sophie,CM,,AI-CLA
2023-11-08T13:30:00Z,2023-11-08T16:30:00Z,Cours-5458-20-M1-IA-IL-CLA-Index-Education,Stat 6 = Info - C 129,UCE 4 APPLICATION DE MSI,MARTIN Yannis,TP,,AI-CLA
2023-09-14T06:30:00Z,2023-09-14T09:30:00Z,Cours-5499-12-M1-IA-IL-CLA-Index-Education,Stat 1 = Info - C 137,UCE 2 PROGRAMMATION PARALLELE,LABRAK Yanis,TP,,AI-CLA
2023-09-26T06:30:00Z,2023-09-26T09:30:00Z,Cours-5511-14-M1-IA-IL-CLA-Index-Education,Stat 5 = Info - C 130,UCE 2 PROGRAMMATION PARALLELE,LABRAK Yanis,TP,,AI-CLA
2023-10-03T06:30:00Z,2023-10-03T09:30:00Z,Cours-5511-15-M1-IA-IL-CLA-Index-Education,Stat 4 = Info - C 131,UCE 2 PROGRAMMATION PARALLELE,LABRAK Yanis,TP,,AI-CLA
2023-09-20T11:00:00Z,2023-09-20T14:00:00Z,Cours-5514-13-M1-IA-IL-CLA-Index-Education,Stat 8 = Info - C 127,UCE 2 PROGRAMMATION PARALLELE,LABRAK Yanis,TP,,AI-CLA
2023-10-23T11:00:00Z,2023-10-23T14:00:00Z,Cours-5517-18-M1-IA-IL-CLA-Index-Education,Stat 1 = Info - C 137,UCE 2 PROGRAMMATION PARALLELE,LABRAK Yanis,Evaluation,,AI-CLA
2023-10-16T14:00:00Z,2023-10-16T17:00:00Z,Cours-5635-17-M1-IA-IL-CLA-Index-Education,"Stat 5 = Info - C 130, Stat 6 = Info - C 129",UCE 4 APPLICATION DE CONCEPTI,ROUVIER Mickael,TP,,AI-CLA
2023-11-15T15:00:00Z,2023-11-15T18:00:00Z,Cours-5636-21-M1-IA-IL-CLA-Index-Education,Stat 6 = Info - C 129,UCE 4 APPLICATION DE CONCEPTI,ROUVIER Mickael,TP,,AI-CLA
2023-12-18T12:00:00Z,2023-12-18T15:00:00Z,Cours-5642-26-M1-IA-IL-CLA-Index-Education,"Stat 8 = Info - C 127, Stat9 = Info - C 026",UCE 4 APPLICATION DE CONCEPTI,ROUVIER Mickael,TP,,AI-CLA
2023-09-22T06:30:00Z,2023-09-22T11:00:00Z,Cours-5683-13-M1-IA-IL-CLA-Index-Education,Amphi Ada,UCE 1 PROJET,"HADDAD Majed, VERNET Mathilde",TD,Presentation des projets de M1 classiques,AI-CLA
2023-11-16T09:00:00Z,2023-11-16T10:30:00Z,Cours-5684-21-M1-IA-IL-CLA-Index-Education,S4 = C 034,UCE 1 PROJET,"HADDAD Majed, VERNET Mathilde",TD,2eme rencontre intermediaire des projets de M1 classiques,AI-CLA
2023-10-19T08:00:00Z,2023-10-19T11:00:00Z,Cours-5686-17-M1-IA-IL-CLA-Index-Education,S5 = C 024,UCE 1 PROJET,"HADDAD Majed, VERNET Mathilde",TD,1ere rencontre intermediaire des projets de M1 classiques,AI-CLA
2023-11-20T09:00:00Z,2023-11-20T12:00:00Z,Cours-5689-22-M1-IA-IL-CLA-Index-Education,S5 = C 024,UCE 2 INSERTION PROFESSIONNEL,BROCHARD Marc,TD,NE PAS DEPLACER,AI-CLA
2023-11-29T07:30:00Z,2023-11-29T10:30:00Z,Cours-5699-23-M1-IA-IL-CLA-Index-Education,S5 = C 024,UCE 2 INSERTION PROFESSIONNEL,BROCHARD Marc,TD,NE PAS DEPLACER,AI-CLA
2023-11-28T13:30:00Z,2023-11-28T16:30:00Z,Cours-5715-23-M1-IA-IL-CLA-Index-Education,S5 = C 024,UCE 2 INSERTION PROFESSIONNEL,BROCHARD Marc,TD,NE PAS DEPLACER,AI-CLA
2023-12-05T09:00:00Z,2023-12-05T10:30:00Z,Cours-5716-24-M1-IA-IL-CLA-Index-Education,S5 = C 024,UCE 2 INSERTION PROFESSIONNEL,BROCHARD Marc,TD,NE PAS DEPLACER,AI-CLA
2023-09-12T06:30:00Z,2023-09-12T09:30:00Z,Cours-5912-12-M1-IA-IL-CLA-Index-Education,S5 = C 024,UCE 1 INTRODUCTION A L'INTELL,LEFEVRE Fabrice,CM,,AI-CLA
2023-09-19T06:30:00Z,2023-09-19T09:30:00Z,Cours-5912-13-M1-IA-IL-CLA-Index-Education,S6 = C 022,UCE 1 INTRODUCTION A L'INTELL,LEFEVRE Fabrice,CM,,AI-CLA
2023-10-20T08:00:00Z,2023-10-20T09:30:00Z,Cours-5914-17-M1-IA-IL-CLA-Index-Education,Stat 1 = Info - C 137,UCE 1 INTRODUCTION A L'INTELL,LEFEVRE Fabrice,TP,,AI-CLA
2023-10-17T08:00:00Z,2023-10-17T11:00:00Z,Cours-5922-17-M1-IA-IL-CLA-Index-Education,Stat 2 = Info - C 136,UCE 2 PROGRAMMATION PARALLELE,LABRAK Yanis,TP,,AI-CLA
2023-10-16T06:30:00Z,2023-10-16T09:30:00Z,Cours-5934-17-M1-IA-IL-CLA-Index-Education,Stat 5 = Info - C 130,UCE 2 PROGRAMMATION PARALLELE,LABRAK Yanis,TP,,AI-CLA
