dtstart,dtend,uid,location,Matiere,Enseignants,Type,Memo,Formation
2023-09-14T06:30:00Z,2023-09-14T09:30:00Z,Cours-5499-12-M1-ILSEN-cla-Gr1-Index-Education,Stat 1 = Info - C 137,UCE 2 PROGRAMMATION PARALLELE,LABRAK Yanis,TP,,ILSEN-CLA
2023-09-21T12:30:00Z,2023-09-21T14:00:00Z,Cours-5500-13-M1-ILSEN-cla-Gr1-Index-Education,Amphi Ada,UCE 2 ARCHITECTURES WEB,FREDOUILLE Corinne,CM,,ILSEN-CLA
2023-09-13T15:30:00Z,2023-09-13T17:00:00Z,Cours-5501-12-M1-ILSEN-cla-Gr1-Index-Education,Amphi Ada,UCE 2 ARCHITECTURES WEB,FREDOUILLE Corinne,CM,,ILSEN-CLA
2023-10-17T06:30:00Z,2023-10-17T09:30:00Z,Cours-5522-17-M1-ILSEN-cla-Gr1-Index-Education,Stat 5 = Info - C 130,UCE 2 PROGRAMMATION PARALLELE,PELERIN Aurelien,TP,,ILSEN-CLA
2023-10-13T06:30:00Z,2023-10-13T09:30:00Z,Cours-5526-16-M1-ILSEN-cla-Gr1-Index-Education,Stat 6 = Info - C 129,UCE 2 PROGRAMMATION PARALLELE,PELERIN Aurelien,TP,,ILSEN-CLA
2023-09-13T08:00:00Z,2023-09-13T09:30:00Z,Cours-5529-12-M1-ILSEN-cla-Gr1-Index-Education,S5 = C 024,UCE 3 URBANISATION,ROUVIER Mickael,CM,,ILSEN-CLA
2023-12-22T09:00:00Z,2023-12-22T12:00:00Z,Cours-5530-26-M1-ILSEN-cla-Gr1-Index-Education,Amphi Blaise,UCE 3 URBANISATION,ROUVIER Mickael,Evaluation,,ILSEN-CLA
2023-10-16T14:00:00Z,2023-10-16T17:00:00Z,Cours-5635-17-M1-ILSEN-cla-Gr1-Index-Education,"Stat 5 = Info - C 130, Stat 6 = Info - C 129",UCE 4 APPLICATION DE CONCEPTI,ROUVIER Mickael,TP,,ILSEN-CLA
2023-11-15T15:00:00Z,2023-11-15T18:00:00Z,Cours-5636-21-M1-ILSEN-cla-Gr1-Index-Education,Stat 6 = Info - C 129,UCE 4 APPLICATION DE CONCEPTI,ROUVIER Mickael,TP,,ILSEN-CLA
2023-12-18T12:00:00Z,2023-12-18T15:00:00Z,Cours-5642-26-M1-ILSEN-cla-Gr1-Index-Education,"Stat 8 = Info - C 127, Stat9 = Info - C 026",UCE 4 APPLICATION DE CONCEPTI,ROUVIER Mickael,TP,,ILSEN-CLA
2023-09-22T06:30:00Z,2023-09-22T11:00:00Z,Cours-5683-13-M1-ILSEN-cla-Gr1-Index-Education,Amphi Ada,UCE 1 PROJET,"HADDAD Majed, VERNET Mathilde",TD,Presentation des projets de M1 classiques,ILSEN-CLA
2023-11-16T09:00:00Z,2023-11-16T10:30:00Z,Cours-5684-21-M1-ILSEN-cla-Gr1-Index-Education,S4 = C 034,UCE 1 PROJET,"HADDAD Majed, VERNET Mathilde",TD,2eme rencontre intermediaire des projets de M1 classiques,ILSEN-CLA
2023-10-19T08:00:00Z,2023-10-19T11:00:00Z,Cours-5686-17-M1-ILSEN-cla-Gr1-Index-Education,S5 = C 024,UCE 1 PROJET,"HADDAD Majed, VERNET Mathilde",TD,1ere rencontre intermediaire des projets de M1 classiques,ILSEN-CLA
2023-11-20T09:00:00Z,2023-11-20T12:00:00Z,Cours-5689-22-M1-ILSEN-cla-Gr1-Index-Education,S5 = C 024,UCE 2 INSERTION PROFESSIONNEL,BROCHARD Marc,TD,NE PAS DEPLACER,ILSEN-CLA
2023-11-29T07:30:00Z,2023-11-29T10:30:00Z,Cours-5699-23-M1-ILSEN-cla-Gr1-Index-Education,S5 = C 024,UCE 2 INSERTION PROFESSIONNEL,BROCHARD Marc,TD,NE PAS DEPLACER,ILSEN-CLA
2023-11-28T13:30:00Z,2023-11-28T16:30:00Z,Cours-5715-23-M1-ILSEN-cla-Gr1-Index-Education,S5 = C 024,UCE 2 INSERTION PROFESSIONNEL,BROCHARD Marc,TD,NE PAS DEPLACER,ILSEN-CLA
2023-12-05T09:00:00Z,2023-12-05T10:30:00Z,Cours-5716-24-M1-ILSEN-cla-Gr1-Index-Education,S5 = C 024,UCE 2 INSERTION PROFESSIONNEL,BROCHARD Marc,TD,NE PAS DEPLACER,ILSEN-CLA
2023-10-10T12:30:00Z,2023-10-10T14:00:00Z,Cours-5845-16-M1-ILSEN-cla-Gr1-Index-Education,Stat 5 = Info - C 130,UCE 2 ARCHITECTURES WEB,"FREDOUILLE Corinne, JABAIAN Bassam",TP,,ILSEN-CLA
2023-12-04T07:30:00Z,2023-12-04T09:00:00Z,Cours-5846-24-M1-ILSEN-cla-Gr1-Index-Education,Stat 1 = Info - C 137,UCE 2 ARCHITECTURES WEB,FREDOUILLE Corinne,TP,,ILSEN-CLA
2023-11-10T12:00:00Z,2023-11-10T15:00:00Z,Cours-6058-20-M1-ILSEN-cla-Gr1-Index-Education,Stat 4 = Info - C 131,UCE 2 PROGRAMMATION PARALLELE,PELERIN Aurelien,TP,,ILSEN-CLA
2023-10-19T14:00:00Z,2023-10-19T17:00:00Z,Cours-6059-17-M1-ILSEN-cla-Gr1-Index-Education,Amphi Blaise,UCE 1 DESIGN PATTERN AVANCE,NABITZ Sophie,CM,,ILSEN-CLA
2023-11-07T09:00:00Z,2023-11-07T10:30:00Z,Cours-6073-20-M1-ILSEN-cla-Gr1-Index-Education,Stat 5 = Info - C 130,UCE 2 ARCHITECTURES WEB,JABAIAN Bassam,TP,,ILSEN-CLA
2023-10-26T11:00:00Z,2023-10-26T14:00:00Z,Cours-7115-18-M1-ILSEN-cla-Gr1-Index-Education,"Stat 6 = Info - C 129, Stat 7 = Info - C 128",UCE 4 APPLICATION DE CONCEPTI,ROUVIER Mickael,TP,,ILSEN-CLA
2024-01-16T09:00:00Z,2024-01-16T12:00:00Z,Cours-7182-30-M1-ILSEN-cla-Gr1-Index-Education,"Stat 1 = Info - C 137, Stat 2 = Info - C 136",UCE 4 APPLICATION DE CONCEPTI,ROUVIER Mickael,TP,,ILSEN-CLA
2023-12-01T07:30:00Z,2023-12-01T09:00:00Z,Cours-67783-23-M1-ILSEN-cla-Gr1-Index-Education,S7 = C 032,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,Evaluation,,ILSEN-CLA
2024-03-19T10:30:00Z,2024-03-19T12:00:00Z,Cours-71329-39-M1-ILSEN-cla-Gr1-Index-Education,Stat 1 = Info - C 137,UCE 1 VEILLE TECHNOLOGIQUE,LEFEVRE Fabrice,TP,,ILSEN-CLA
2024-01-09T15:00:00Z,2024-01-09T18:00:00Z,Cours-20569-29-M1-ILSEN-cla-Gr1-Index-Education,Amphi Blaise,UCE 3 GESTION DE PROJET,COSTA Jean-pierre,Evaluation,,ILSEN-CLA
2024-01-09T10:30:00Z,2024-01-09T12:00:00Z,Cours-20588-29-M1-ILSEN-cla-Gr1-Index-Education,Amphi Ada,UCE 3 GESTION DE PROJET,COSTA Jean-pierre,CM,,ILSEN-CLA
2023-10-09T12:30:00Z,2023-10-09T15:30:00Z,Cours-20601-16-M1-ILSEN-cla-Gr1-Index-Education,Stat 8 = Info - C 127,UCE 2 PROGRAMMATION PARALLELE,PELERIN Aurelien,TP,,ILSEN-CLA
2023-10-18T08:00:00Z,2023-10-18T09:30:00Z,Cours-29623-17-M1-ILSEN-cla-Gr1-Index-Education,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,TP,,ILSEN-CLA
2023-11-08T09:00:00Z,2023-11-08T10:30:00Z,Cours-29623-20-M1-ILSEN-cla-Gr1-Index-Education,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,TP,,ILSEN-CLA
2023-09-18T11:00:00Z,2023-09-18T14:00:00Z,Cours-29631-13-M1-ILSEN-cla-Gr1-Index-Education,Amphi Ada,UCE 2 MANAGEMENT PAR LES PROC,PUY CAZCARRA Emmanuel,CM,,ILSEN-CLA
2023-09-18T14:00:00Z,2023-09-18T17:00:00Z,Cours-29643-13-M1-ILSEN-cla-Gr1-Index-Education,Amphi Ada,UCE 1 ARCHITECTURES CLOUD ET,PUY CAZCARRA Emmanuel,CM,,ILSEN-CLA
2023-10-12T11:00:00Z,2023-10-12T14:00:00Z,Cours-29646-16-M1-ILSEN-cla-Gr1-Index-Education,Stat 8 = Info - C 127,UCE 2 PROGRAMMATION PARALLELE,PELERIN Aurelien,TP,,ILSEN-CLA
2023-12-13T15:00:00Z,2023-12-13T18:00:00Z,Cours-29703-25-M1-ILSEN-cla-Gr1-Index-Education,Amphi Blaise,UCE 2 MANAGEMENT PAR LES PROC,PUY CAZCARRA Emmanuel,CM,,ILSEN-CLA
2023-12-21T10:30:00Z,2023-12-21T12:00:00Z,Cours-29706-26-M1-ILSEN-cla-Gr1-Index-Education,Amphi Blaise,UCE 2 MANAGEMENT PAR LES PROC,PUY CAZCARRA Emmanuel,Evaluation,,ILSEN-CLA
2023-12-14T12:00:00Z,2023-12-14T15:00:00Z,Cours-30340-25-M1-ILSEN-cla-Gr1-Index-Education,CISCO = C 133 reseaux,UCE 1 ARCHITECTURES CLOUD ET,NABITZ Sophie,TP,,ILSEN-CLA
2023-11-06T13:30:00Z,2023-11-06T15:00:00Z,Cours-30940-20-M1-ILSEN-cla-Gr1-Index-Education,Amphi Blaise,UCE 1 ARCHITECTURES CLOUD ET,PUY CAZCARRA Emmanuel,CM,,ILSEN-CLA
2023-09-12T11:00:00Z,2023-09-12T12:30:00Z,Cours-31014-12-M1-ILSEN-cla-Gr1-Index-Education,Amphi Blaise,UCE 2 PROGRAMMATION PARALLELE,ROUVIER Mickael,CM,,ILSEN-CLA
2023-10-11T06:30:00Z,2023-10-11T09:30:00Z,Cours-31202-16-M1-ILSEN-cla-Gr1-Index-Education,Amphi Ada,UCE 1 DESIGN PATTERN AVANCE,NABITZ Sophie,CM,,ILSEN-CLA
2023-12-20T12:00:00Z,2023-12-20T15:00:00Z,Cours-31239-26-M1-ILSEN-cla-Gr1-Index-Education,CISCO = C 133 reseaux,UCE 1 ARCHITECTURES CLOUD ET,NABITZ Sophie,TP,,ILSEN-CLA
