dtstart,dtend,uid,salle,Matiere,Enseignants,Type,Memo,Formation
2023-10-10T12:30:00Z,2023-10-10T14:00:00Z,Cours-5845-16-M1-ILSEN-alt-GR1-Index-Education,Stat 5 = Info - C 130,UCE 2 ARCHITECTURES WEB,"FREDOUILLE Corinne, JABAIAN Bassam",TP,,ILSEN-ALT
2023-12-04T07:30:00Z,2023-12-04T09:00:00Z,Cours-5846-24-M1-ILSEN-alt-GR1-Index-Education,Stat 1 = Info - C 137,UCE 2 ARCHITECTURES WEB,FREDOUILLE Corinne,TP,,ILSEN-ALT
2023-11-07T09:00:00Z,2023-11-07T10:30:00Z,Cours-6073-20-M1-ILSEN-alt-GR1-Index-Education,Stat 5 = Info - C 130,UCE 2 ARCHITECTURES WEB,JABAIAN Bassam,TP,,ILSEN-ALT
2023-11-02T07:00:00Z,2023-11-02T18:00:00Z,Cours-6344-19-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2023-11-03T07:00:00Z,2023-11-03T18:00:00Z,Cours-6345-19-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2023-12-25T07:00:00Z,2023-12-25T18:00:00Z,Cours-6347-27-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2024-01-01T07:00:00Z,2024-01-01T18:00:00Z,Cours-6348-28-M1-ILSEN-alt-GR1-Index-Education,,Reservation de salles,,,entreprise,ILSEN-ALT
2023-09-19T14:00:00Z,2023-09-19T15:30:00Z,Cours-30509-13-M1-ILSEN-alt-GR1-Index-Education,Stat 4 = Info - C 131,UCE 2 ARCHITECTURES WEB,JABAIAN Bassam,TP,,ILSEN-ALT
2023-09-12T11:00:00Z,2023-09-12T12:30:00Z,Cours-31014-12-M1-ILSEN-alt-GR1-Index-Education,Amphi Blaise,UCE 2 PROGRAMMATION PARALLELE,ROUVIER Mickael,CM,,ILSEN-ALT
2023-09-15T12:30:00Z,2023-09-15T15:30:00Z,Cours-35447-12-M1-ILSEN-alt-GR1-Index-Education,Stat 1 = Info - C 137,UCE 2 PROGRAMMATION PARALLELE,PELERIN Aurelien,TP,,ILSEN-ALT
2024-03-20T07:30:00Z,2024-03-20T10:30:00Z,Cours-69630-39-M1-ILSEN-alt-GR1-Index-Education,Stat 1 = Info - C 137,UCE 3 APPLICATIONS ORIENTEES,ATER MASTER INFO,TP,,ILSEN-ALT
2024-04-10T06:30:00Z,2024-04-10T09:30:00Z,Cours-69630-42-M1-ILSEN-alt-GR1-Index-Education,Stat 1 = Info - C 137,UCE 3 APPLICATIONS ORIENTEES,ATER MASTER INFO,TP,,ILSEN-ALT
2024-04-17T06:30:00Z,2024-04-17T09:30:00Z,Cours-69630-43-M1-ILSEN-alt-GR1-Index-Education,Stat 1 = Info - C 137,UCE 3 APPLICATIONS ORIENTEES,ATER MASTER INFO,TP,,ILSEN-ALT
2023-11-17T15:00:00Z,2023-11-17T16:30:00Z,Cours-37739-21-M1-ILSEN-alt-GR1-Index-Education,Amphi Ada,Reservation de salles,FREDOUILLE Corinne,,Reunion alternance mi-semestre,ILSEN-ALT
2023-09-13T12:30:00Z,2023-09-13T14:00:00Z,Cours-38377-12-M1-ILSEN-alt-GR1-Index-Education,Amphi Ada,UCE 2 PROGRAMMATION PARALLELE,ROUVIER Mickael,CM,,ILSEN-ALT
