dtstart,dtend,dtstamp,uid,description,last-modified,location,summary
2024-01-08T12:00:00Z,2024-01-08T13:30:00Z,2024-02-26T12:35:10Z,Cours-5006-29-M1-ILSEN-cla-Gr1-Index-Education,"Matiere : UCE 2 ARCHITECTURES WEB\nEnseignants : FREDOUILLE Corinne, JABAIAN Bassam\nTD : M1-ILSEN-alt-GR1, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2, M1-SICOM-Alt, M1-SICOM-Cla\nSalle : Amphi Blaise\nType : Evaluation\n",2023-06-27T16:15:40Z,Amphi Blaise,"UCE 2 ARCHITECTURES WEB - FREDOUILLE Corinne, JABAIAN Bassam - M1-ILSEN-alt-GR1, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2, M1-SICOM-Alt, M1-SICOM-Cla - Evaluation"
2023-09-21T06:30:00Z,2023-09-21T08:00:00Z,2024-02-26T12:35:10Z,Cours-5024-13-M1-ILSEN-cla-Gr1-Index-Education,"Matiere : UCE 2 ARCHITECTURES WEB\nEnseignant : JABAIAN Bassam\nTD : M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2\nSalle : Stat 2 = Info - C 136\nType : TP\n",2023-06-27T16:15:40Z,Stat 2 = Info - C 136,"UCE 2 ARCHITECTURES WEB - JABAIAN Bassam - M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2 - TP"
2023-11-16T07:30:00Z,2023-11-16T09:00:00Z,2024-02-26T12:35:10Z,Cours-5024-21-M1-ILSEN-cla-Gr1-Index-Education,"Matiere : UCE 2 ARCHITECTURES WEB\nEnseignant : JABAIAN Bassam\nTD : M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2\nSalle : Stat 2 = Info - C 136\nType : TP\n",2023-06-27T16:15:40Z,Stat 2 = Info - C 136,"UCE 2 ARCHITECTURES WEB - JABAIAN Bassam - M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2 - TP"
2023-12-18T07:30:00Z,2023-12-18T10:30:00Z,2024-02-26T12:35:10Z,Cours-5033-26-M1-ILSEN-cla-Gr1-Index-Education,"Matiere : UCE 2 ARCHITECTURES WEB\nEnseignants : FREDOUILLE Corinne, JABAIAN Bassam\nTD : M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2\nSalle : Stat 3 = Info - C 135\nType : Evaluation\nMemo : Evaluation\n",2023-06-27T16:15:40Z,Stat 3 = Info - C 135,"UCE 2 ARCHITECTURES WEB - FREDOUILLE Corinne, JABAIAN Bassam - M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2 - Evaluation - Evaluation"
2023-09-12T15:30:00Z,2023-09-12T17:00:00Z,2024-02-26T12:35:10Z,Cours-5127-12-M1-ILSEN-cla-Gr1-Index-Education,Matiere : UCE 1 ANGLAIS (ORIENTE ENTREP\nEnseignant : REY Carole\nTD : M1-ILSEN-cla-Gr1\nSalle : S3 = C 036\nType : TP\n,2023-09-14T13:22:19Z,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP - REY Carole - M1-ILSEN-cla-Gr1 - TP
2023-09-18T08:00:00Z,2023-09-18T09:30:00Z,2024-02-26T12:35:10Z,Cours-5131-13-M1-ILSEN-cla-Gr1-Index-Education,Matiere : UCE 1 ANGLAIS (ORIENTE ENTREP\nEnseignant : REY Carole\nTD : M1-ILSEN-cla-Gr1\nSalle : S3 = C 036\nType : TP\n,2023-09-14T12:58:21Z,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP - REY Carole - M1-ILSEN-cla-Gr1 - TP
2023-10-09T09:30:00Z,2023-10-09T11:00:00Z,2024-02-26T12:35:10Z,Cours-5132-16-M1-ILSEN-cla-Gr1-Index-Education,Matiere : UCE 1 ANGLAIS (ORIENTE ENTREP\nEnseignant : REY Carole\nTD : M1-ILSEN-cla-Gr1\nSalle : S3 = C 036\nType : TP\n,2023-09-14T13:19:14Z,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP - REY Carole - M1-ILSEN-cla-Gr1 - TP
2023-10-13T09:30:00Z,2023-10-13T11:00:00Z,2024-02-26T12:35:10Z,Cours-5137-16-M1-ILSEN-cla-Gr1-Index-Education,Matiere : UCE 1 ANGLAIS (ORIENTE ENTREP\nEnseignant : REY Carole\nTD : M1-ILSEN-cla-Gr1\nSalle : S3 = C 036\nType : TP\n,2023-09-15T06:13:15Z,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP - REY Carole - M1-ILSEN-cla-Gr1 - TP
2023-10-26T14:00:00Z,2023-10-26T15:30:00Z,2024-02-26T12:35:10Z,Cours-5140-18-M1-ILSEN-cla-Gr1-Index-Education,Matiere : UCE 1 ANGLAIS (ORIENTE ENTREP\nEnseignant : REY Carole\nTD : M1-ILSEN-cla-Gr1\nSalle : S3 = C 036\nType : TP\n,2023-09-27T06:31:35Z,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP - REY Carole - M1-ILSEN-cla-Gr1 - TP
2023-11-06T10:30:00Z,2023-11-06T12:00:00Z,2024-02-26T12:35:10Z,Cours-5145-20-M1-ILSEN-cla-Gr1-Index-Education,Matiere : UCE 1 ANGLAIS (ORIENTE ENTREP\nEnseignant : REY Carole\nTD : M1-ILSEN-cla-Gr1\nSalle : S3 = C 036\nType : TP\n,2023-09-14T13:19:33Z,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP - REY Carole - M1-ILSEN-cla-Gr1 - TP
2023-11-13T09:00:00Z,2023-11-13T10:30:00Z,2024-02-26T12:35:10Z,Cours-5149-21-M1-ILSEN-cla-Gr1-Index-Education,Matiere : UCE 1 ANGLAIS (ORIENTE ENTREP\nEnseignant : REY Carole\nTD : M1-ILSEN-cla-Gr1\nSalle : S3 = C 036\nType : TP\n,2023-09-14T12:59:33Z,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP - REY Carole - M1-ILSEN-cla-Gr1 - TP
2023-11-28T10:30:00Z,2023-11-28T12:00:00Z,2024-02-26T12:35:10Z,Cours-5153-23-M1-ILSEN-cla-Gr1-Index-Education,Matiere : UCE 1 ANGLAIS (ORIENTE ENTREP\nEnseignant : REY Carole\nTD : M1-ILSEN-cla-Gr1\nSalle : S3 = C 036\nType : TP\n,2023-09-27T06:32:03Z,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP - REY Carole - M1-ILSEN-cla-Gr1 - TP
2023-12-11T09:00:00Z,2023-12-11T10:30:00Z,2024-02-26T12:35:10Z,Cours-5157-25-M1-ILSEN-cla-Gr1-Index-Education,Matiere : UCE 1 ANGLAIS (ORIENTE ENTREP\nEnseignant : REY Carole\nTD : M1-ILSEN-cla-Gr1\nSalle : S3 = C 036\nType : TP\n,2023-09-15T07:33:49Z,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP - REY Carole - M1-ILSEN-cla-Gr1 - TP
2023-11-20T07:30:00Z,2023-11-20T09:00:00Z,2024-02-26T12:35:10Z,Cours-5161-22-M1-ILSEN-cla-Gr1-Index-Education,Matiere : UCE 1 ANGLAIS (ORIENTE ENTREP\nEnseignant : REY Carole\nTD : M1-ILSEN-cla-Gr1\nSalle : S3 = C 036\nType : TP\n,2023-09-27T06:32:26Z,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP - REY Carole - M1-ILSEN-cla-Gr1 - TP
2023-11-17T07:30:00Z,2023-11-17T09:00:00Z,2024-02-26T12:35:10Z,Cours-5232-21-M1-ILSEN-cla-Gr1-Index-Education,"Matiere : UCE 1 ANGLAIS (ORIENTE ENTREP\nEnseignant : REY Carole\nTD : M1-IA-IL-ALT, M1-IA-IL-CLA, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-SICOM-Alt, M1-SICOM-Cla\nSalle : Amphi Blaise\nType : Evaluation\n",2023-09-15T06:16:28Z,Amphi Blaise,"UCE 1 ANGLAIS (ORIENTE ENTREP - REY Carole - M1-IA-IL-ALT, M1-IA-IL-CLA, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-SICOM-Alt, M1-SICOM-Cla - Evaluation"
2024-01-12T15:00:00Z,2024-01-12T16:30:00Z,2024-02-26T12:35:10Z,Cours-5239-29-M1-ILSEN-cla-Gr1-Index-Education,"Matiere : UCE 1 ANGLAIS (ORIENTE ENTREP\nEnseignant : REY Carole\nTD : M1-IA-IL-ALT, M1-IA-IL-CLA, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-SICOM-Alt, M1-SICOM-Cla\nSalle : Amphi Blaise\nType : Evaluation\n",2023-09-18T07:58:36Z,Amphi Blaise,"UCE 1 ANGLAIS (ORIENTE ENTREP - REY Carole - M1-IA-IL-ALT, M1-IA-IL-CLA, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-SICOM-Alt, M1-SICOM-Cla - Evaluation"
2023-09-21T08:00:00Z,2023-09-21T11:00:00Z,2024-02-26T12:35:10Z,Cours-5241-13-M1-ILSEN-cla-Gr1-Index-Education,"Matiere : UCE 2 MANAGEMENT PAR LES PROC\nEnseignant : MARTIN Yannis\nTD : M1-IA-IL-ALT, M1-IA-IL-CLA, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-SICOM-Alt, M1-SICOM-Cla\nSalle : Amphi Ada\nType : CM\n",2023-09-15T06:17:08Z,Amphi Ada,"UCE 2 MANAGEMENT PAR LES PROC - MARTIN Yannis - M1-IA-IL-ALT, M1-IA-IL-CLA, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-SICOM-Alt, M1-SICOM-Cla - CM"
2023-09-15T08:00:00Z,2023-09-15T11:00:00Z,2024-02-26T12:35:10Z,Cours-5243-12-M1-ILSEN-cla-Gr1-Index-Education,"Matiere : UCE 2 MANAGEMENT PAR LES PROC\nEnseignant : PUY CAZCARRA Emmanuel\nTD : M1-IA-IL-ALT, M1-IA-IL-CLA, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-SICOM-Alt, M1-SICOM-Cla\nSalle : S5 = C 024\nType : CM\n",2023-09-15T06:17:09Z,S5 = C 024,"UCE 2 MANAGEMENT PAR LES PROC - PUY CAZCARRA Emmanuel - M1-IA-IL-ALT, M1-IA-IL-CLA, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-SICOM-Alt, M1-SICOM-Cla - CM"
2023-12-12T13:30:00Z,2023-12-12T15:00:00Z,2024-02-26T12:35:10Z,Cours-5246-25-M1-ILSEN-cla-Gr1-Index-Education,"Matiere : UCE 2 MANAGEMENT PAR LES PROC\nEnseignant : MARTIN Yannis\nTD : M1-IA-IL-ALT, M1-IA-IL-CLA, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-SICOM-Alt, M1-SICOM-Cla\nSalle : Amphi Blaise\nType : CM\n",2023-09-15T06:17:09Z,Amphi Blaise,"UCE 2 MANAGEMENT PAR LES PROC - MARTIN Yannis - M1-IA-IL-ALT, M1-IA-IL-CLA, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-SICOM-Alt, M1-SICOM-Cla - CM"
2023-11-06T15:00:00Z,2023-11-06T18:00:00Z,2024-02-26T12:35:10Z,Cours-5248-20-M1-ILSEN-cla-Gr1-Index-Education,"Matiere : UCE 2 MANAGEMENT PAR LES PROC\nEnseignant : PUY CAZCARRA Emmanuel\nTD : M1-IA-IL-ALT, M1-IA-IL-CLA, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-SICOM-Alt, M1-SICOM-Cla\nSalle : Amphi Blaise\nType : CM\n",2023-09-15T06:17:09Z,Amphi Blaise,"UCE 2 MANAGEMENT PAR LES PROC - PUY CAZCARRA Emmanuel - M1-IA-IL-ALT, M1-IA-IL-CLA, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-SICOM-Alt, M1-SICOM-Cla - CM"
2023-11-16T10:30:00Z,2023-11-16T12:00:00Z,2024-02-26T12:35:10Z,Cours-5262-21-M1-ILSEN-cla-Gr1-Index-Education,"Matiere : UCE 2 MANAGEMENT PAR LES PROC\nEnseignant : PUY CAZCARRA Emmanuel\nTD : M1-IA-IL-ALT, M1-IA-IL-CLA, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-SICOM-Alt, M1-SICOM-Cla\nSalle : Amphi Ada\nType : CM\n",2023-09-15T06:17:09Z,Amphi Ada,"UCE 2 MANAGEMENT PAR LES PROC - PUY CAZCARRA Emmanuel - M1-IA-IL-ALT, M1-IA-IL-CLA, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-SICOM-Alt, M1-SICOM-Cla - CM"
2023-12-07T09:00:00Z,2023-12-07T12:00:00Z,2024-02-26T12:35:10Z,Cours-5265-24-M1-ILSEN-cla-Gr1-Index-Education,"Matiere : UCE 2 MANAGEMENT PAR LES PROC\nEnseignant : PUY CAZCARRA Emmanuel\nTD : M1-IA-IL-ALT, M1-IA-IL-CLA, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-SICOM-Alt, M1-SICOM-Cla\nSalle : Amphi Ada\nType : CM\n",2023-09-15T06:17:09Z,Amphi Ada,"UCE 2 MANAGEMENT PAR LES PROC - PUY CAZCARRA Emmanuel - M1-IA-IL-ALT, M1-IA-IL-CLA, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-SICOM-Alt, M1-SICOM-Cla - CM"
2023-12-12T09:00:00Z,2023-12-12T12:00:00Z,2024-02-26T12:35:10Z,Cours-5271-25-M1-ILSEN-cla-Gr1-Index-Education,"Matiere : UCE 2 MANAGEMENT PAR LES PROC\nEnseignant : MARTIN Yannis\nTD : M1-IA-IL-ALT, M1-IA-IL-CLA, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-SICOM-Alt, M1-SICOM-Cla\nSalle : Amphi Ada\nType : CM\n",2023-09-15T06:17:09Z,Amphi Ada,"UCE 2 MANAGEMENT PAR LES PROC - MARTIN Yannis - M1-IA-IL-ALT, M1-IA-IL-CLA, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-SICOM-Alt, M1-SICOM-Cla - CM"
2024-01-10T12:00:00Z,2024-01-10T13:30:00Z,2024-02-26T12:35:10Z,Cours-5278-29-M1-ILSEN-cla-Gr1-Index-Education,"Matiere : UCE 2 MANAGEMENT PAR LES PROC\nEnseignants : MARTIN Yannis, PUY CAZCARRA Emmanuel\nTD : M1-IA-IL-ALT, M1-IA-IL-CLA, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-SICOM-Alt, M1-SICOM-Cla\nSalle : Amphi Blaise\nType : Evaluation\n",2023-09-15T06:16:50Z,Amphi Blaise,"UCE 2 MANAGEMENT PAR LES PROC - MARTIN Yannis, PUY CAZCARRA Emmanuel - M1-IA-IL-ALT, M1-IA-IL-CLA, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-SICOM-Alt, M1-SICOM-Cla - Evaluation"
